,Neighborhood,City,Latitude,Longitude
111,Scarborough Town Centre,Toronto,43.7761341,-79.25843763592165
112,York Mills West,Toronto,43.7440391,-79.406657
113,Davisville North,Toronto,43.697936,-79.3972908
114,Forest Hill North & West,Toronto,43.701028,-79.4255998
115,Forest Hill Road Park,Toronto,43.6946774,-79.4066795
116,High Park,Toronto,43.6538668,-79.4668644
117,The Junction South,Toronto,43.6654775,-79.470352
118,Westmount,Toronto,43.6936399,-79.5210426
119,Wexford,Toronto,43.7453767,-79.2947155
120,Maryvale,Toronto,43.7590508,-79.3102297
121,Willowdale West,Toronto,43.7615095,-79.4109234
122,North Toronto West,Toronto,43.6465466,-79.4195263
123,The Annex,Toronto,43.6703377,-79.407117
124,North Midtown,Toronto,43.7051999,-79.39741552147335
125,Yorkville,Toronto,43.6713861,-79.3901677
126,Parkdale,Toronto,43.6404954,-79.4368965
127,Roncesvalles,Toronto,43.6514426,-79.4510381
128,Kingsview Village,Toronto,43.6995391,-79.5563459
129,St. Phillips,Toronto,43.7000483,-79.5437651
130,Martin Grove Gardens,Toronto,43.6873105,-79.561967
131,Richview Gardens,Toronto,43.6848335,-79.5482883
132,Agincourt,Toronto,43.7853531,-79.2785494
133,Davisville,Toronto,43.697936,-79.3972908
134,University of Toronto,Toronto,43.663461999999996,-79.39775965337452
135,Harbord,Toronto,43.66147475,-79.4143720875944
136,Swansea,Toronto,43.64494,-79.478313
137,Clarks Corners,Toronto,43.7964095,-79.2977951
138,Tam O'Shanter,Toronto,43.7810454,-79.2980941
139,Sullivan,Toronto,43.7726802,-79.3159449
140,Moore Park,Toronto,43.6903876,-79.3832965
141,Summerhill East,Toronto,43.6816776,-79.3905037
142,Kensington Market,Toronto,43.6552136,-79.4022604
143,Chinatown,Toronto,43.6529237,-79.3980316
144,Grange Park,Toronto,43.652196599999996,-79.39231921757992
145,Milliken,Toronto,43.8231743,-79.3017626
146,Agincourt North,Toronto,43.8080383,-79.2664391
147,Steeles East,Toronto,43.8161778,-79.3145378
148,L'Amoreaux East,Toronto,43.799003,-79.3059669
149,Summerhill West,Toronto,43.6816776,-79.3905037
150,Rathnelly,Toronto,43.6783953,-79.4008217
151,South Hill,Toronto,43.6779261,-79.4057671
152,Forest Hill SE,Toronto,43.6935586,-79.4139023
153,Deer Park,Toronto,43.68809,-79.3940935
154,CN Tower,Toronto,43.6425637,-79.38708718320467
155,King and Spadina,Toronto,43.6454561,-79.3949942
156,Harbourfront West,Toronto,43.6400801,-79.3801495
157,Bathurst Quay,Toronto,43.6357905,-79.398329
158,South Niagara,Toronto,43.6440753,-79.4086982
159,New Toronto,Toronto,43.6007625,-79.505264
160,Mimico South,Toronto,43.6166773,-79.4968048
161,South Steeles,Toronto,43.8161778,-79.3145378
162,Silverstone,Toronto,43.749750899999995,-79.59911593109416
163,Humbergate,Toronto,43.7285115,-79.60624961542362
164,Jamestown,Toronto,43.7343476,-79.5847935
165,Mount Olive,Toronto,43.65238435,-79.38356765
166,Thistletown,Toronto,43.7372656,-79.5653169
167,Albion Gardens,Toronto,43.7416654,-79.58454336862486
168,Steeles West,Toronto,43.8161778,-79.3145378
169,L'Amoreaux West,Toronto,43.799003,-79.3059669
170,Rosedale,Toronto,43.6783556,-79.3807457
171,Alderwood,Toronto,43.6017173,-79.5452325
